"id_docente";"nome";"titulo";"tipo";"issn_ou_sigla";"nome_local";"ano";"qualis";"natureza";"percentile_ou_h5";"autores";"doi"
33;Alexandre César Muniz de Oliveira;A Multi-session SLAM Approach for RatSLAM;ARTIGO-ACEITO-PARA-PUBLICACAO;"15730409";JOURNAL OF INTELLIGENT & ROBOTIC SYSTEMS (DORDRECHT. ONLINE);2023;SQ;NAO_INFORMADO;;"Matheus Chaves Menezes;Mauro Enrique de Souza Muñoz;Edison Pignaton de Freitas;Sen Cheng;areolino de almeida neto;paulo rogério de almeida ribeiro;Alexandre César Muniz de Oliveira;";""
33;Alexandre César Muniz de Oliveira;DMC-GRASP: A Continuous GRASP hybridized with Data Mining;TRABALHO-EM-EVENTOS;CEC;"2022 IEEE Congress on Evolutionary Computation (CEC) - 2022 IEEE Congress on Evolutionary Computation (CEC)";2022;A1;NAO_INFORMADO;;"SANTOS, RAPHAEL GOMES;PLASTINO, ALEXANDRE;Alexandre César Muniz de Oliveira;";"10.1109/CEC55065.2022.9870264"
33;Alexandre César Muniz de Oliveira;Low-dimensional Space Modeling-based Differential Evolution for Large Scale Global Optimization Problems;ARTIGO-PUBLICADO;"19410026";IEEE Transactions on Evolutionary Computation;2022;SQ;COMPLETO;;"Fonseca, Thiago Henrique Lemos;Silvia Modesto Nassar;Alexandre César Muniz de Oliveira;Bruno Agard;";"10.1109/TEVC.2022.3227440"
33;Alexandre César Muniz de Oliveira;xRatSLAM: An Extensible RatSLAM Computational Framework;ARTIGO-PUBLICADO;"14248220";SENSORS;2022;A2;COMPLETO;87;"DE SOUZA MUÑOZ, MAURO ENRIQUE;CHAVES MENEZES, MATHEUS;PIGNATON DE FREITAS, EDISON;CHENG, SEN;de Almeida Ribeiro, Paulo Rogério;Areolino de Almeida Neto;MUNIZ DE OLIVEIRA, ALEXANDRE CÉSAR;";"10.3390/s22218305"
33;Alexandre César Muniz de Oliveira;;LIVRO-PUBLICADO-OU-ORGANIZADO;-;null - Springer Cham;2021;SQ;;;"paulo rogério de almeida ribeiro;Vinícius Rosa Cota;Dante Augusto Couto Barone;Alexandre César Muniz de Oliveira;";"10.1007/978-3-031-08443-0"
33;Alexandre César Muniz de Oliveira;A Clustering Search approach for the Train Timetabling Problem;ARTIGO-PUBLICADO;"17427967";INTERNATIONAL JOURNAL OF LOGISTICS SYSTEMS AND MANAGEMENT (PRINT);2021;B1;COMPLETO;43;"Eggo Pinheiro;Enrico Miranda;FRANCISCO GLAUBOS NUNES CLIMACO;Alexandre César Muniz de Oliveira;";"10.1504/ijlsm.2021.10044573"
33;Alexandre César Muniz de Oliveira;Loss Function Regularization on the Iterated Racing Procedure for Automatic Tuning of RatSLAM Parameters;CAPITULO-DE-LIVRO-PUBLICADO;LATIN;Latin American Workshop on Computational Neuroscience - Springer, Cham.;2021;A3;;;"Paulo Gabriel Borralho Gomes;Cicero Joe Rafael Lima de Oliveira;Matheus Chaves Menezes;paulo rogério de almeida ribeiro;Alexandre César Muniz de Oliveira;";"10.1007/978-3-031-08443-0_4"
33;Alexandre César Muniz de Oliveira;Metaheuristic Tuning Generalisation by Cross-Validated Racing;ARTIGO-PUBLICADO;"09758887";INTERNATIONAL JOURNAL OF COMPUTER APPLICATIONS;2020;C;COMPLETO;;"HENRIQUE, THIAGO;Alexandre César Muniz de Oliveira;";"10.5120/ijca2020919991"
33;Alexandre César Muniz de Oliveira;Automatic Tuning of RatSLAM?s Parameters by Irace and Iterative Closest Point;TRABALHO-EM-EVENTOS;IECON;IECON 2020  46th Annual Conference of the IEEE Industrial Electronics Society - IECON 2020 The 46th Annual Conference of the IEEE Industrial Electronics Society;2020;A2;INTERNACIONAL;;"MENEZES, MATHEUS C.;MUNOZ, MAURO E. S.;FREITAS, EDISON P.;CHENG, SEN;WALTHER, THOMAS;NETO, AREOLINO A.;Paulo R. de A. Ribeiro;Alexandre César Muniz de Oliveira;";"10.1109/iecon43393.2020.9254718"
33;Alexandre César Muniz de Oliveira;A study of model and hyper-parameter selection strategies for classifier ensembles: a robust analysis on different optimization algorithms and extended results;ARTIGO-PUBLICADO;"15677818";Natural Computing;2020;A4;COMPLETO;59;"FEITOSA-NETO, ANTONINO A.;XAVIER-JÚNIOR, JOÃO C.;CANUTO, ANNE M. P.;Alexandre César Muniz de Oliveira;";"10.1007/s11047-020-09816-0"
