"id_docente";"nome";"titulo";"ano_inicio";"ano_fim";"situacao";"natureza";"qtd_graduacao";"qtd_especializacao";"qtd_mestrado";"qtd_doutorado";"integrantes";"financiador";"responsavel"
33;Alexandre César Muniz de Oliveira;DESENVOLVIMENTO DE FRAMEWORK PARA EXPLORAÇÃO AUTÔNOMA EM SISTEMAS COGNITIVOS MULTI ROBÓTICOS;2019;"2021";CONCLUIDO;PESQUISA;"2";"";"1";"1";"Alexandre César Muniz de Oliveira;  Matheus Chaves Menezes;  Edison Pignaton de Freitas;  paulo rogério de almeida ribeiro;  areolino de almeida neto;  Mauro Enrique de Souza Muñoz;  RODRIGO MENDES GARCES;  ";Fundação de Amparo à Pesquisa ao Desenvolv. Científico e Tecnológico - MA;Sim
33;Alexandre César Muniz de Oliveira;Laboratório de Cognição de Máquina, Otimização e Robótica - LACMOR;2016;"2019";CONCLUIDO;PESQUISA;"6";"";"6";"";"Alexandre César Muniz de Oliveira;  Areolino Almeida Neto;  Costa, Tarcísio Souza;  Leonardo Dagnino Chiwiacowsky;  Pedro De Alcantara Dos Santos Neto;  Luciano Buonocore;  ";Fundação de Amparo à Pesquisa ao Desenvolv. Científico e Tecnológico - MA;Sim
33;Alexandre César Muniz de Oliveira;Planejamento de Operações em Terminais Portuários de Granel e Contêiner ? ProporMARSES;2014;"2016";CONCLUIDO;PESQUISA;"2";"";"4";"";"Alexandre César Muniz de Oliveira;  Geraldo Regis Mauri;  Leonardo Dagnino Chiwiacowsky;  ";Conselho Nacional de Desenvolvimento Científico e Tecnológico;Sim
33;Alexandre César Muniz de Oliveira;Logística e planejamento de operações em terminais portuários;2013;"2015";CONCLUIDO;PESQUISA;"4";"";"1";"2";"Alexandre César Muniz de Oliveira;  Luiz Antonio Nogueira Lorena;  Leonardo Dagnino Chiwiacowsky;  ";Fundação de Amparo à Pesquisa ao Desenvolv. Científico e Tecnológico - MA;Sim
33;Alexandre César Muniz de Oliveira;Buritirana: Inclusão Tecnológica e Desenvolvimento Humano, na Conservação e Uso Sustentável da Biodiversidade.;2013;"2015";CONCLUIDO;EXTENSAO;"14";"";"1";"";"Alexandre César Muniz de Oliveira;  Giselle Azevedo Garcia;  ";Fundação de Amparo à Pesquisa ao Desenvolv. Científico e Tecnológico - MA;Sim
33;Alexandre César Muniz de Oliveira;Planejamento de Operações em Terminais Portuários Graneleiros Integrados com Malha Ferroviária - PROPAGUA (Proc. 558084/2009-5));2010;"2012";EM_ANDAMENTO;DESENVOLVIMENTO;"4";"";"1";"";"Alexandre César Muniz de Oliveira;  Luiz Antonio Nogueira Lorena;  Geraldo Regis Mauri;  ";Conselho Nacional de Desenvolvimento Científico e Tecnológico;Sim
33;Alexandre César Muniz de Oliveira;Log. e Planej. de Oper. em Term. Portuários e Integração com a Malha Ferroviária (PROPOR II);2008;"2010";CONCLUIDO;PESQUISA;"3";"0";"1";"0";"Alexandre César Muniz de Oliveira;  Luiz Antonio Nogueira Lorena;  Anselmo Cardoso de Paiva;  ";Conselho Nacional de Desenvolvimento Científico e Tecnológico;Sim
33;Alexandre César Muniz de Oliveira;Projeto InovTec- Inovação Tecnológica do Forno da Usina de Pelotização da CVRD/São Luís-MA;2008;"2010";EM_ANDAMENTO;DESENVOLVIMENTO;"1";"0";"0";"0";"Alexandre César Muniz de Oliveira;  Areolino Almeida Neto;  ";Financiadora de Estudos e Projetos;Não
33;Alexandre César Muniz de Oliveira;Programa de Educação Tutorial de Ciência da Computação;2007;"2015";CONCLUIDO;OUTRA;"80";"";"";"";"Alexandre César Muniz de Oliveira;  ";Secretaria de Educação Superior;Sim
33;Alexandre César Muniz de Oliveira;Logística e Planejamento de Operações em Terminais Portuários - PROPOR;2006;"2008";CONCLUIDO;PESQUISA;"3";"";"2";"";"Alexandre César Muniz de Oliveira;  Luiz Antonio de Nogueira Lorena;  Aristófanes Corrêa Silva;  Anselmo Cardoso de Paiva;  ";Conselho Nacional de Desenvolvimento Científico e Tecnológico;Sim
33;Alexandre César Muniz de Oliveira;Novas Metaheurísticas para Busca Guiada por Agrupamentos;2005;"2007";EM_ANDAMENTO;PESQUISA;"2";"";"";"";"Alexandre César Muniz de Oliveira;  ";;Sim
39;André Castelo Branco Soares;Estabelecimento de Circuitos Ópticos Elásticos Dinâmicos em Fibra Ópticas com Multiplexação Espacial;2022;"";EM_ANDAMENTO;PESQUISA;"2";"";"";"3";"André Castelo Branco Soares;  Selles Araujo;  Jurandir Cavalcante Lacerda Júnior;  ";;Sim
39;André Castelo Branco Soares;AGREGAÇÃO DE TRÁFEGO EM REDES DE CIRCUITOS ÓPTICOS ELÁSTICOS TRANSLÚCIDOS;2021;"";EM_ANDAMENTO;PESQUISA;"4";"";"2";"2";"André Castelo Branco Soares;  José Augusto Suruagy Monteiro;  Gilvan Martins Durães;  Gustavo Bittencourt Figueiredo;  Iallen Gábio de Sousa Santos;  Alexandre Cardoso Fontinele;  VALDEMIR, JOSÉ;  ";;Sim
39;André Castelo Branco Soares;Algoritmos IA-GRMLSA para Redes ópticas Elásticas Translúcidas;2018;"";EM_ANDAMENTO;PESQUISA;"2";"";"1";"1";"André Castelo Branco Soares;  Érico Medeses Leão;  José Valdemir dos Reis Júnior;  ";Universidade Federal do Piauí;Sim
39;André Castelo Branco Soares;Estudo e Modelagem da Infraestrutura de Comunicação de Dados via WIMAX e PON para o Controle da Magnitude de Tensão em Sistemas de Transmissão de Energia Elétrica.;2017;"";EM_ANDAMENTO;PESQUISA;"";"";"";"";"André Castelo Branco Soares;  Ricardo de Andrade Lira Rabelo;  José Valdemir Júnior;  Guilherme Guimarães Lage;  ";;Não
39;André Castelo Branco Soares;Redes Ópticas Elásticas e Translúcidas;2015;"";EM_ANDAMENTO;PESQUISA;"2";"";"2";"1";"André Castelo Branco Soares;  Alexandre Cardoso Fontinele;  Italo Barbosa Brasileiro;  ";;Sim
39;André Castelo Branco Soares;Transporte de Tráfego Multisserviço através de Ópticas Elásticas sob Restrições de Camada Física;2014;"2017";CONCLUIDO;PESQUISA;"2";"";"3";"1";"André Castelo Branco Soares;  William  Ferreira Giozza;  Karcius Day Rosário Assis;  Gilvan Martins Durães;  Iallen Gábio de Sousa Santos;  Alexandre Cardoso Fontinele;  MARANHÃO, JOSÉ;  Joberto Sérgio Barbosa Martins;  Romildo Martins da Silva Bezerra;  Rafael Freitas Reale;  ";Conselho Nacional de Desenvolvimento Científico e Tecnológico;Sim
39;André Castelo Branco Soares;Interligando Redes de Sensores à Internet: embarque do IPv6 com baixo consumo de energia;2012;"2015";CONCLUIDO;PESQUISA;"";"";"4";"";"André Castelo Branco Soares;  Danielo Golçalves Gomes,;  Carlos Giovanni Nunes de Carvalho;  Augusto Jose Venancio Neto;  Atslands Rego da Rocha;  Rossana M. C. Andrade;  Miguel Franklin de Castro;  ";Conselho Nacional de Desenvolvimento Científico e Tecnológico;Não
