"id_docente";"nome";"tipo";"titulo";"ano";"financiadora";"outras_informacoes";"autores"
33;Alexandre César Muniz de Oliveira;Base de Dados Pública;Simulation robot video;2021;Universidade Federal do Maranhão (http://dx.doi.org/10.17632/4pkd8thbsd.1);"Finalidade: Videos mp4 containing frames used to map by xRatSLAM.; Cidade: São Luís; Local: http://dx.doi.org/10.17632/4pkd8thbsd.1; ";"Gabriel Borralho Gomes;Alexandre César Muniz de Oliveira;"
33;Alexandre César Muniz de Oliveira;Base de Dados Pública;?Instances for the Berth Allocation Problem in Tidal Bulk ports with Inventory control (BAPTBI), Mendeley Data, V1,  doi: 10.17632/58ph43s6h4.1;2021;Universidade Federal do Maranhão;"Finalidade: Benchmark para teste de algoritmos de otimização; Cidade: São Luís; Local: ; ";"Jorge Rodrigo Silva e Silva;Alexandre César Muniz de Oliveira;"
33;Alexandre César Muniz de Oliveira;Base de Dados Pública;Real World Instances for Train Timetabling Problem (TTP). http://dx.doi.org/10.17632/j3gtjywky6.1#file-620ad1a9-a888-46cf-993d-f64eb206cfba;2019;http://dx.doi.org/10.17632/j3gtjywky6.1#file-620ad1a9-a888-46cf-993d-f64eb206cfba;"Finalidade: Realização de experimentos computacionais para comparação de desempenho de diferentes algoritmos de otimização; Cidade: ; Local: ; ";"Eggo Pinheiro;Alexandre César Muniz de Oliveira;"
39;André Castelo Branco Soares;SOFTWARE;Bus Tracker iOS;2017;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512017000028-0; Data Depósito: 24012017; Depositante: ; Titular: ; ";""
39;André Castelo Branco Soares;SOFTWARE;Bus Tracker;2017;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512017000027-1; Data Depósito: 24012017; Depositante: ; Titular: ; ";""
39;André Castelo Branco Soares;CONCURSO;Concurso de Teses e Dissertações do CSBC;2016;SBC;"Local: PUC-RS; Cidade: Porto Alegre; Duração: 1; ";"André Castelo Branco Soares;Rodrigo Barros;"
39;André Castelo Branco Soares;SOFTWARE;SNETS;2016;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512015001493-5; Data Depósito: 06092016; Depositante: Italo Barbosa Brasileiro;André Castelo Branco Soares;Universidade Federal do Piauí; Titular: ; ";""
39;André Castelo Branco Soares;OUTRA;Coordenador de sessão do concurso de teses e dissertações do Congresso da Sociedade Brasileira de Computação;2016;"";"Finalidade: ; ";"André Castelo Branco Soares;"
39;André Castelo Branco Soares;OUTRA;Coordenador de Sessão Técnica do SBRC 2016;2016;"";"Finalidade: ; ";"André Castelo Branco Soares;"
39;André Castelo Branco Soares;CONGRESSO;Simpósio Brasileiro de Jogos e Entretenimento Digital (SBGames);2015;SBC;"Local: Hotel Blue Thee Rio Poty; Cidade: Teresina; Duração: 1; ";"Erick Passos;Pedro de Alcântara dos Santos Neto;André Castelo Branco Soares;"
39;André Castelo Branco Soares;CONGRESSO;Escola Regional de Informática do Piauí (ERIPI);2015;SBC;"Local: UFPI; Cidade: Parnaíba; Duração: 1; ";"Ricardo de Andrade Lira Rabelo;André Castelo Branco Soares;"
39;André Castelo Branco Soares;SOFTWARE;Aplicativo Móvel Ciente de Localização;2014;Sem financianeto;"Finalidade: Localização de aplicativo móvel; Plataforma: Plataforma iOS; Ambiente: ; ";"André Castelo Branco Soares;Roniel Soares;"
39;André Castelo Branco Soares;SOFTWARE;Silence Zone;2014;INPI - Instituto Nacional da Propriedade Industrial;"Tipo Registro/Patente: PROGRAMA_DE_COMPUTADOR_PC; Código: BR512014001141-0; Data Depósito: 24092014; Depositante: Roniel Soares;Sebastião Galeno Pereira Filho;André Castelo Branco Soares;Universidade Federal do Piauí; Titular: ; ";""
39;André Castelo Branco Soares;SOFTWARE;Framework para Simulação de Algoritmos RWA-IA na Ferramenta de Simulação TONetS;2012;"UFPI; CNPq";"Finalidade: Simulação de redes ópticas; Plataforma: Java; Ambiente: Avaliação de desempenho; ";"Alexandre Cardoso Fontinele;André Castelo Branco Soares;"
