"id_docente";"nome";"tipo";"nome_instituicao";"ano_inicio";"ano_fim";"outras_informacoes"
33;Alexandre César Muniz de Oliveira;Revisor de periódico;IEEE Transactions on Cybernetics;2017;"";"Review of the following manuscripts&#10;- ID CYB-E-2018-05-1020 &#10;- ID CYB-E-2016-09-1395 .R1"
33;Alexandre César Muniz de Oliveira;Revisor de periódico;SOFT COMPUTING;2017;"2018";Review of the manuscript SOCO-D-17-00018R1
33;Alexandre César Muniz de Oliveira;Revisor de periódico;European Journal of Operational Research;2015;"";Review of paper EJOR-D-15-01896
33;Alexandre César Muniz de Oliveira;Revisor de periódico;Computers & Industrial Engineering;2014;"";Review of CAIE-D-13-00235R1
33;Alexandre César Muniz de Oliveira;Revisor de projeto de fomento;Fundação de Amparo à Pesquisa ao Desenvolv. Científico e Tecnológico - MA;2013;"";"PAPPE-00282/13&#10;Edital 47/2012&#09;Admissão&#09;Avaliado&#09;04/03/2013&#09;     &#09;     &#10;PAPPE-00264/13&#10;Edital 47/2012&#09;Admissão&#09;Avaliado&#09;04/03/2013&#09;     &#09;     &#10;PAPPE-00274/13&#10;Edital 47/2012&#09;Admissão&#09;Avaliado&#09;10/03/2013&#09;     &#09;     &#10;APP-UNIVERSAL-01048/13&#10;Edital 01/2013&#09;Admissão&#09;Avaliado&#09;11/07/2013&#09;     &#09;     &#10;SCT-01858/13&#10;Edital 09/2013&#09;Admissão&#09;Avaliado&#09;04/08/2013   &#10;PROCIENCIA-02918/13&#10;Edital 23/2013&#09;Admissão&#09;Avaliado&#09;30/09/2013&#09;     &#09;     &#10;PROCIENCIA-01655/14&#10;Edital 19/2014&#09;Admissão&#09;Avaliado&#09;20/07/2014&#09;     &#09;     &#10;NIT-01004/11&#10;Edital 14/2011&#09;Final&#09;Avaliado&#09;26/01/2015&#09;     &#09;     &#10;TECNOVA-00223/14&#10;Edital 38/2013&#09;1º Parcial&#09;Avaliado&#09;10/04/2015"
39;André Castelo Branco Soares;Revisor de periódico;IEEE Access;2021;"";""
39;André Castelo Branco Soares;Revisor de periódico;INTERNATIONAL JOURNAL OF COMMUNICATION SYSTEMS;2021;"";""
39;André Castelo Branco Soares;Revisor de periódico;SENSORS;2021;"";""
39;André Castelo Branco Soares;Revisor de projeto de fomento;Universidade Federal do Mato Grosso do Sul;2019;"";""
39;André Castelo Branco Soares;Revisor de periódico;Journal of Communication and Information Systems;2016;"";""
39;André Castelo Branco Soares;Revisor de projeto de fomento;(FAPEPI) Fundação de Amparo à Pesquisa do Estado do Piauí;2011;"2011";""
39;André Castelo Branco Soares;Revisor de periódico;Revista de Informática Teórica e Aplicada (Impresso);2011;"";""
